2016-10-12 14:59:05,992 [Worker-183] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-10-12 14:59:05,994 [Worker-183] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 14:59:05,995 [Worker-183] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerJPA/src/test/resources
2016-10-12 14:59:37,198 [Worker-189] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 14:59:37,200 [Worker-189] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-10-12 14:59:37,202 [Worker-189] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 14:59:37,203 [Worker-189] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerJPA/src/test/resources
2016-10-12 14:59:55,987 [Worker-192] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 14:59:55,988 [Worker-192] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-10-12 14:59:55,990 [Worker-192] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 14:59:55,992 [Worker-192] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerJPA/src/test/resources
2016-10-12 15:00:13,329 [Worker-193] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:00:13,342 [Worker-193] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-10-12 15:00:13,345 [Worker-193] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:00:13,346 [Worker-193] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerJPA/src/test/resources
2016-10-12 15:01:10,315 [Worker-190] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:01:10,317 [Worker-190] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-10-12 15:01:10,319 [Worker-190] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:01:10,320 [Worker-190] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerJPA/src/test/resources
2016-10-12 15:01:37,864 [Worker-193] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:01:37,866 [Worker-193] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-10-12 15:01:37,868 [Worker-193] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:01:37,868 [Worker-193] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerJPA/src/test/resources
2016-10-12 15:12:08,815 [Worker-197] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: FourteenerREST:FourteenerREST:0.0.1-SNAPSHOT @ /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/pom.xml.
2016-10-12 15:12:11,491 [Worker-197] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /FourteenerREST/src
2016-10-12 15:12:11,492 [Worker-197] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /FourteenerREST/src/test/java because it overlaps with /FourteenerREST/src
2016-10-12 15:12:11,734 [Worker-196] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:12:11,737 [Worker-196] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/main/resources
2016-10-12 15:12:11,738 [Worker-196] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:12:11,739 [Worker-196] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/test/resources
2016-10-12 15:12:12,334 [Worker-197] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-10-12 15:12:12,386 [Worker-197] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: FourteenerREST:FourteenerREST:0.0.1-SNAPSHOT @ /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/pom.xml.
2016-10-12 15:12:13,596 [Worker-197] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /FourteenerREST/src
2016-10-12 15:12:13,596 [Worker-197] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /FourteenerREST/src/test/java because it overlaps with /FourteenerREST/src
2016-10-12 15:12:13,856 [Worker-199] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:12:13,856 [Worker-199] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/main/resources
2016-10-12 15:12:13,859 [Worker-199] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:12:13,859 [Worker-199] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/test/resources
2016-10-12 15:12:13,860 [Worker-199] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of FourteenerREST
2016-10-12 15:12:13,861 [Worker-199] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for FourteenerREST
2016-10-12 15:12:13,886 [Worker-199] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:maven-clean-plugin:jar:2.5 is missing, no dependency information available
2016-10-12 15:12:13,893 [Worker-199] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:12:14,297 [Worker-197] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for FourteenerREST
2016-10-12 15:12:14,327 [Worker-197] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2016-10-12 15:12:14,933 [Worker-199] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:12:14,933 [Worker-199] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/main/resources
2016-10-12 15:12:14,935 [Worker-199] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:12:14,935 [Worker-199] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/test/resources
2016-10-12 15:12:14,936 [Worker-199] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of FourteenerREST
2016-10-12 15:12:14,936 [Worker-199] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for FourteenerREST
2016-10-12 15:12:14,945 [Worker-199] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:12:32,434 [Worker-194] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: FourteenerREST:FourteenerREST:0.0.1-SNAPSHOT @ /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/pom.xml.
2016-10-12 15:12:34,000 [Worker-194] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:12:34,002 [Worker-194] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/main/resources
2016-10-12 15:12:34,004 [Worker-194] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:12:34,006 [Worker-194] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/test/resources
2016-10-12 15:12:34,006 [Worker-194] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of FourteenerREST
2016-10-12 15:12:34,006 [Worker-194] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for FourteenerREST
2016-10-12 15:12:34,017 [Worker-194] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:13:00,760 [Worker-201] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:13:00,774 [Worker-201] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/main/resources
2016-10-12 15:13:00,776 [Worker-201] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:13:00,777 [Worker-201] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/test/resources
2016-10-12 15:13:32,059 [Worker-200] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:13:32,080 [Worker-200] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/main/resources
2016-10-12 15:13:32,082 [Worker-200] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:13:32,083 [Worker-200] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/test/resources
2016-10-12 15:13:48,742 [Worker-199] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:13:48,745 [Worker-199] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/main/resources
2016-10-12 15:13:48,747 [Worker-199] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:13:48,747 [Worker-199] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/test/resources
2016-10-12 15:14:14,644 [Worker-199] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:14:14,645 [Worker-199] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/main/resources
2016-10-12 15:14:14,646 [Worker-199] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:14:14,647 [Worker-199] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/test/resources
2016-10-12 15:14:35,976 [Worker-199] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:14:35,977 [Worker-199] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/main/resources
2016-10-12 15:14:35,980 [Worker-199] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-12 15:14:35,980 [Worker-199] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/stevenadams/SD/JQuery/Fourteener/FourteenerREST/src/test/resources
